Country Name,Country Code,Region,IncomeGroup,Year,Undernourishment %,CO2 (tons),Health Expenditure %,Education Expenditure %,Unemployment %,Injuries,Communicable,NonCommunicable,daly,Life Expectancy
Afghanistan,AFG,South Asia,Low income,2001,48,730,5,5,11,2179727,9689194,5795426,17664347,56
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,68,15960,4,5,4,1392081,11190211,2663516,15245808,47
Albania,ALB,Europe & Central Asia,Upper middle income,2001,5,3230,7,3,19,117082,140895,532325,790302,74
Andorra,AND,Europe & Central Asia,High income,2001,2,520,6,5,4,1698,696,13637,16031,75
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,3,97200,2,5,2,144678,65272,481741,691691,75
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,3,125260,8,5,17,1397676,1507069,8070910,10975655,74
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,26,3600,5,2,11,103372,122238,767916,993526,72
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,2,10,5,5,4,1684,2934,10752,15370,75
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,2,350,5,5,4,2201,3280,14290,19771,74
Australia,AUS,East Asia & Pacific,High income,2001,2,345640,8,5,7,612234,208283,4158053,4978570,80
Austria,AUT,Europe & Central Asia,High income,2001,2,67910,9,6,4,240209,77701,2101884,2419794,79
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,17,26400,3,4,11,235308,904187,1816141,2955636,67
Burundi,BDI,Sub-Saharan Africa,Low income,2001,2,200,6,3,2,1285727,5085323,1088355,7459405,50
Belgium,BEL,Europe & Central Asia,High income,2001,2,118340,8,5,6,393057,160342,2708304,3261703,78
Benin,BEN,Sub-Saharan Africa,Lower middle income,2001,17,1740,3,2,1,285885,4179252,1180017,5645154,56
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,23,970,3,5,3,536393,10193783,2395728,13125904,51
Bangladesh,BGD,South Asia,Lower middle income,2001,16,25780,2,2,4,5106399,29348014,20529108,54983521,66
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,4,46190,7,3,20,379599,184937,3126551,3691087,72
Bahrain,BHR,Middle East & North Africa,High income,2001,2,16390,4,5,1,19519,15096,105084,139699,75
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,3,13760,7,5,27,137887,75030,985954,1198871,75
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,2,51880,6,5,12,843472,221301,3630110,4694883,69
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,6,530,5,6,9,14723,19427,38687,72837,69
Bermuda,BMU,North America,High income,2001,2,10,5,5,4,1268,1588,13589,16445,78
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,28,8050,5,5,2,427942,1592197,1578652,3598791,63
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,11,319380,9,4,10,9266899,13885997,36221436,59374332,70
Barbados,BRB,Latin America & Caribbean,High income,2001,6,1310,6,6,10,6656,11833,60831,79320,77
Bhutan,BTN,South Asia,Lower middle income,2001,2,230,5,6,2,23055,150695,107017,280767,62
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,24,3870,6,5,19,108922,1278993,318895,1706810,50
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,39,250,4,5,6,299926,3652351,745735,4698012,44
Canada,CAN,North America,High income,2001,2,506620,9,5,7,818909,374249,6667095,7860253,79
Switzerland,CHE,Europe & Central Asia,High income,2001,2,45150,9,5,2,248188,83611,1735154,2066953,80
Chile,CHL,Latin America & Caribbean,High income,2001,3,48430,7,5,10,528317,339395,2826830,3694542,77
China,CHN,East Asia & Pacific,Upper middle income,2001,10,3529080,4,5,4,47557279,50025776,275473736,373056791,72
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2001,20,6490,6,2,5,657534,12911514,2791907,16360955,49
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,23,5160,4,2,7,589963,9928804,2484150,13002917,51
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,9,58940,6,4,15,3298510,2290325,6106139,11694974,73
Comoros,COM,Sub-Saharan Africa,Lower middle income,2001,2,110,7,5,5,18972,221053,91790,331815,60
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,5,5420,6,5,6,111738,105977,589945,807660,78
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,2,27470,7,8,4,369330,273181,2375230,3017741,77
Cyprus,CYP,Europe & Central Asia,High income,2001,5,6990,5,5,4,27840,11278,197749,236867,78
Germany,DEU,Europe & Central Asia,High income,2001,2,847680,10,5,8,2057820,879257,23164673,26101750,78
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,42,380,3,8,28,24413,304678,97074,426165,57
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,4,150,5,5,4,2397,3636,17709,23742,75
Denmark,DNK,Europe & Central Asia,High income,2001,2,54250,8,8,4,147749,69511,1523353,1740613,77
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,20,18980,5,2,7,331152,1080987,1343896,2756035,70
Algeria,DZA,Middle East & North Africa,Lower middle income,2001,8,78650,4,5,27,1608318,2111101,5443143,9162562,71
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,21,24250,4,5,4,577980,1127478,1869608,3575066,73
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,2,700,6,4,6,233581,2012790,641729,2888100,56
Spain,ESP,Europe & Central Asia,High income,2001,2,294790,7,4,10,1105891,554638,10087758,11748287,79
Estonia,EST,Europe & Central Asia,High income,2001,4,15380,5,5,13,105616,30167,476440,612223,70
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,47,4400,5,4,3,3185985,46614052,10875042,60675079,53
Finland,FIN,Europe & Central Asia,High income,2001,2,61090,7,6,10,222106,66976,1324449,1613531,78
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,4,1040,3,6,4,27085,60695,197751,285531,66
France,FRA,Europe & Central Asia,High income,2001,2,376730,10,5,9,2204469,837071,14213906,17255446,79
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,11,6230,3,5,17,51611,445708,235346,732665,58
United Kingdom,GBR,Europe & Central Asia,High income,2001,2,545260,8,4,5,1259910,1112339,16399003,18771252,78
Georgia,GEO,Europe & Central Asia,Upper middle income,2001,8,3520,7,2,11,146594,206455,1423122,1776171,70
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,15,6210,3,5,10,598632,8404053,3184154,12186839,57
Guinea,GIN,Sub-Saharan Africa,Low income,2001,2,1570,5,2,5,401723,5920468,1616142,7938333,51
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,2,150,7,5,6,79755,878629,253406,1211790,51
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2001,2,3400,2,5,9,28480,374127,100976,503583,54
Greece,GRC,Europe & Central Asia,High income,2001,2,96610,8,3,10,284568,125698,2884916,3295182,78
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,2,230,6,5,4,3070,4995,21038,29103,73
Greenland,GRL,Europe & Central Asia,High income,2001,2,10,5,5,4,5098,1853,14705,21656,67
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2001,22,9810,6,5,3,658386,2018748,1765490,4442624,68
Guam,GUM,East Asia & Pacific,High income,2001,2,10,5,5,13,4449,5431,27555,37435,75
Guyana,GUY,Latin America & Caribbean,Upper middle income,2001,6,1640,3,8,12,48944,105443,169977,324364,66
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,22,5800,6,5,4,350162,617054,1031647,1998863,71
Croatia,HRV,Europe & Central Asia,High income,2001,7,19200,7,5,16,191137,72999,1337534,1601670,75
Haiti,HTI,Latin America & Caribbean,Lower middle income,2001,51,1600,4,5,10,572401,2986337,1997698,5556436,57
Hungary,HUN,Europe & Central Asia,High income,2001,2,56280,7,5,6,486731,152436,3521824,4160991,72
